helyezés hányan_érték_el sportág versenyszám
1 1 atlétika férfi_kalapácsvetés
1 2 kajak-kenu férfi_kajak_kettes_1000_m
1 1 kajak-kenu női_kajak_egyes_500_m
1 4 kajak-kenu női_kajak_négyes_500_m
1 1 torna Férfi_lólengés
1 1 úszás férfi_200_m_mell
1 1 úszás női_10_km_nyílt_vízi
1 1 vívás férfi_kard_egyéni
2 1 birkózás férfi_kötöttfogás_66_kg
2 1 cselgancs férfi_harmatsúly
2 4 kajak-kenu férfi_kajak_négyes_1000_m
2 2 kajak-kenu női_kajak_kettes_500_m
3 1 birkózás férfi_kötöttfogás_55_kg
3 1 birkózás férfi_szabadfogás_74_kg
3 1 cselgancs női_légsúly
3 1 kajak-kenu női_kajak_egyes_200_m
3 1 öttusa férfi_egyéni
3 1 úszás férfi_200_m_vegyes
4 16 kézilabda férfi
4 1 úszás női_400_m_vegyes
4 1 úszás férfi_100_m_mell
4 13 vízilabda női
5 1 cselgáncs női_könnyűsúly
5 1 cselgáncs női_félnehézsúly
5 4 úszás férfi_4x10_m_vegyes_váltó
5 14 vízilabda férfi
6 1 kajak-kenu férfi_kenu_egyes_1000_m
6 1 kajak-kenu férfi_kajak_egyes_200_m
6 1 sportlövészet női_sportpisztoly
6 1 sportlövészet férfi_dupla_trap
6 1 sportlövészet férfi_sportpuska_összetett
6 1 úszás férfi_400_m_gyors
6 1 úszás női_800_m_gyors
Forrás: https://hu.wikipedia.org/wiki/Magyarorsz%C3%A1g_a_2012._%C3%A9vi_ny%C3%A1ri_olimpiai_j%C3%A1t%C3%A9kokon
